datetime,type,v_mer,v_zon,v,max_gradT (station)
2023080300,1,6.05,0.19,6.05,3.46 (14.5;48.5)
2023080300,1,10.52,10.79,15.07,2.09 (16.0;50.0)
2023080312,-1,-0.16,-0.21,0.26,2.63 (10.0;47.0)
2023080600,1,1.92,-4.35,4.75,4.02 (17.5;50.0)
2023080812,1,1.33,2.05,2.44,2.36 (14.5;47.0)
2023081112,1,1.37,4.04,4.27,2.75 (13.0;51.5)
2023081212,1,0.12,1.26,1.26,2.64 (16.0;47.0)
2023081212,-1,0.52,-0.96,1.09,2.64 (16.0;47.0)
2023081300,-1,-2.58,8.02,8.43,2.87 (13.0;53.0)
2023081300,-1,0.62,2.45,2.53,2.63 (17.5;47.0)
2023081312,1,0.65,-0.68,0.94,3.02 (10.0;48.5)
2023081312,-1,-2.26,3.69,4.32,2.93 (17.5;53.0)
2023081400,-1,1.85,-0.56,1.93,2.10 (16.0;47.0)
2023081400,1,0.02,0.27,0.27,1.94 (10.0;50.0)
2023081412,-1,0.58,-1.14,1.28,2.36 (16.0;47.0)
2023081412,1,2.37,-0.21,2.38,1.97 (14.5;47.0)
2023081412,1,2.64,1.68,3.13,1.61 (16.0;53.0)
2023081500,-1,2.02,-2.88,3.52,3.42 (16.0;48.5)
2023081500,1,2.69,-1.88,3.29,3.42 (16.0;48.5)
2023081512,1,0.2,0.06,0.21,1.90 (11.5;51.5)
2023081600,-1,-1.94,3.0,3.57,2.52 (14.5;53.0)
2023081612,1,0.66,-0.46,0.8,2.27 (16.0;53.0)
2023081700,1,2.3,-2.89,3.7,1.68 (14.5;53.0)
2023081712,-1,-1.14,-2.39,2.64,2.17 (16.0;47.0)
2023081712,1,3.41,-2.32,4.12,1.87 (11.5;51.5)
2023081800,1,2.99,-2.89,4.16,2.09 (10.0;53.0)
2023081912,1,0.17,0.8,0.81,2.21 (14.5;47.0)
2023082100,-1,-1.13,0.58,1.27,2.09 (10.0;51.5)
2023082100,-1,-2.19,7.21,7.53,1.80 (14.5;53.0)
2023082112,-1,-0.62,0.81,1.02,2.66 (11.5;48.5)
2023082112,1,0.25,-0.82,0.85,2.66 (11.5;48.5)
2023082200,1,1.42,0.03,1.42,2.22 (10.0;51.5)
2023082212,-1,-1.96,2.03,2.82,2.70 (11.5;48.5)
2023082212,1,0.19,-0.26,0.32,2.70 (11.5;48.5)
2023082300,-1,-3.55,1.52,3.86,2.21 (17.5;50.0)
2023082312,-1,-0.63,0.33,0.71,2.85 (10.0;48.5)
2023082400,-1,-3.09,-2.01,3.68,2.02 (19.0;48.5)
2023082412,1,2.09,1.05,2.34,2.61 (11.5;48.5)
2023082500,1,2.74,6.38,6.94,1.82 (17.5;51.5)
2023082512,1,2.04,2.12,2.94,1.50 (19.0;53.0)
2023082600,1,0.4,0.79,0.89,1.56 (14.5;47.0)
2023082612,1,2.36,-1.51,2.8,3.77 (10.0;47.0)
2023082612,-1,-0.58,9.68,9.7,2.63 (13.0;51.5)
2023082700,-1,-2.01,1.49,2.5,2.95 (17.5;48.5)
2023082712,1,0.62,-0.71,0.94,3.48 (16.0;48.5)
2023082800,1,1.22,-1.06,1.62,4.78 (17.5;48.5)
2023082800,-1,-0.4,0.65,0.76,4.78 (17.5;48.5)
2023082800,-1,-3.6,7.04,7.91,1.42 (11.5;53.0)
2023082812,1,4.43,-6.85,8.16,4.73 (17.5;48.5)
2023082900,-1,0.49,-0.91,1.03,3.85 (17.5;50.0)
2023082900,1,3.88,-5.93,7.09,3.85 (17.5;50.0)
2023082912,-1,0.98,0.76,1.24,3.16 (16.0;53.0)
2023082912,1,1.32,-1.98,2.38,2.79 (16.0;50.0)
2023083000,1,-0.26,-1.48,1.5,2.25 (17.5;48.5)
2023083012,-1,1.6,5.03,5.28,2.00 (19.0;51.5)
2023083100,-1,2.21,7.5,7.82,1.21 (11.5;51.5)
2023083112,1,0.37,-0.15,0.4,2.54 (11.5;48.5)
2023083112,-1,-0.39,6.96,6.97,1.30 (17.5;53.0)
